ADDRESS,RACKS,SPACES,COORDINATES/0,COORDINATES/1
765 PENNSYLVANIA AVE,1,2,-122.39275,37.756408
770 GOLDEN GATE AVE,1,2,-122.423396,37.780909
770 STANYAN ST,1,2,-122.452903,37.767885
775 YORK ST,1,2,-122.408907,37.759328
801 HAYES ST,1,2,-122.42975697,37.77586947
801 PORTOLA DR,1,2,-122.454092,37.743623
801 TURK ST,1,2,-122.422576,37.781452
803 CORTLAND AVE,1,2,-122.414461,37.73908
803 DIVISADERO ST,1,2,-122.43844,37.777082
826 VALENCIA ST,1,2,-122.421689,37.75955
856 MARKET ST,1,2,-122.4071,37.785155
953 MISSION ST,1,2,-122.407365,37.781553
969 MARKET ST,1,2,-122.409229,37.78252
980 VALENCIA ST,1,2,-122.421488,37.757265
985 SHOTWELL ST,1,2,-122.41498878,37.75265286
1 BUSH PLZ,1,2,-122.40033367,37.79054833
1 BUSH PLZ,1,2,-122.40033367,37.79054833
1 DR CARLTON B GOODLETT PL,2,4,-122.41903,37.778846
1348 09TH AVE,1,2,-122.46592,37.763156
1348 09TH AVE,1,2,-122.46592,37.763156
1555 MARIPOSA ST,1,2,-122.399458,37.763454
170 OFARRELL ST,1,2,-122.40736346,37.78679591
1701 DIVISADERO ST,1,2,-122.440238,37.785488
1745 FOLSOM ST,1,2,-122.415058,37.769109
180 NEW MONTGOMERY ST,1,2,-122.399521,37.786251
181 02ND ST,1,2,-122.398362,37.787175
181 02ND ST,1,2,-122.398362,37.787175
1900 FOLSOM ST,1,2,-122.415783,37.766795
204 03RD ST,1,2,-122.40081339,37.78351336
204 03RD ST,1,2,-122.40081339,37.78351336
2239 POLK ST,1,2,-122.422361,37.797548
2275 MARKET ST,1,2,-122.432062,37.764555
230 09TH ST,1,2,-122.412862,37.774399
230 09TH ST,1,2,-122.412862,37.774399
25 SANCHEZ ST,1,2,-122.430979,37.768929
2555 IRVING ST,1,2,-122.48550457,37.76294511
2555 IRVING ST,1,2,-122.48550457,37.76294511
26 07TH ST,1,2,-122.4124,37.780071
26 07TH ST,1,2,-122.4124,37.780071
2690 MISSION ST,1,2,-122.418974,37.754029
2800 24TH ST,1,2,-122.40839866,37.75303805
2801 MISSION ST,1,2,-122.4180857,37.75209257
2801 MISSION ST,1,2,-122.4180857,37.75209257
298 09TH ST,1,2,-122.412042,37.773781
298 09TH ST,1,2,-122.412042,37.773781
300 CONNECTICUT ST,1,2,-122.397653,37.762402
3150 24TH ST,1,2,-122.415346,37.752631
3180 18TH ST,1,2,-122.414601,37.762385
